timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],reset_integral,fw_control_yaw_wheel
60404000,0.001037412,-0.03251337,1.5697398,0.0,0.7073807,0.011855555,-0.011134234,0.7066456,0.0,0.0,-0.8019643,0,0
60460000,-0.00052909454,-0.03368885,1.5697398,0.0,0.707383,0.011716815,-0.01210347,0.7066297,0.0,0.0,-0.8019073,0,0
60508000,-0.0018212,-0.034461346,1.5697398,0.0,0.707386,0.011532743,-0.012833207,0.7066168,0.0,0.0,-0.8018813,0,0
60556000,-0.00017257872,-0.031565875,1.5707353,0.0,0.70704126,0.011098407,-0.011221105,0.70699626,0.0,0.0,-0.8017184,0,0
60604000,-0.0011622509,-0.03253298,1.5707353,0.0,0.7070414,0.01109041,-0.011912839,0.7069849,0.0,0.0,-0.8017077,0,0
60660000,-0.003422181,-0.03260827,1.5707353,0.0,0.70705307,0.0103180865,-0.0127383135,0.70697045,0.0,0.0,-0.8016824,0,0
60708000,-0.0021824727,-0.02941177,1.5689167,0.0,0.70770544,0.009616211,-0.011178831,0.7063537,0.0,0.0,-0.8015903,0,0
60756000,-0.0036006654,-0.030420534,1.5689167,0.0,0.70770735,0.009470663,-0.012036637,0.7063397,0.0,0.0,-0.8015821,0,0
60804000,-0.0049898075,-0.030848542,1.5689167,0.0,0.7077118,0.009130277,-0.012678678,0.7063285,0.0,0.0,-0.8015274,0,0
60860000,-0.0023110076,-0.027594635,1.5697808,0.0,0.70740914,0.008933505,-0.010577385,0.70666873,0.0,0.0,-0.8013541,0,0
60908000,-0.0029208092,-0.02786175,1.5697808,0.0,0.7074107,0.008812199,-0.010887325,0.706664,0.0,0.0,-0.80128396,0,0
60956000,-0.0022011888,-0.026237339,1.5707897,0.0,0.7070581,0.008497823,-0.010054226,0.707033,0.0,0.0,-0.8011643,0,0
61004000,-0.004147985,-0.026623806,1.5707897,0.0,0.7070645,0.007946198,-0.010879067,0.7070207,0.0,0.0,-0.8011131,0,0
61060000,-0.0062091285,-0.026672993,1.5707897,0.0,0.7070721,0.007234903,-0.011625086,0.70700896,0.0,0.0,-0.8010708,0,0
61100000,-0.0067868764,-0.02676455,1.5707897,0.0,0.70707387,0.0070630168,-0.011861687,0.70700496,0.0,0.0,-0.80100477,0,0
61156000,-0.0073901745,-0.027068587,1.5707897,0.0,0.7070749,0.0069572167,-0.012182432,0.7069995,0.0,0.0,-0.80089647,0,0
61204000,-0.00825588,-0.026555926,1.5707897,0.0,0.7070795,0.00646991,-0.012307231,0.70699733,0.0,0.0,-0.8007624,0,0
61260000,-0.008984871,-0.026179736,1.5707897,0.0,0.707083,0.0060791867,-0.012431946,0.7069952,0.0,0.0,-0.80059534,0,0
61300000,-0.009772458,-0.025520448,1.5707897,0.0,0.7070872,0.005567655,-0.012477296,0.70699435,0.0,0.0,-0.80051106,0,0
61356000,-0.010783985,-0.024945479,1.5707897,0.0,0.7070914,0.00500676,-0.0126316175,0.7069917,0.0,0.0,-0.8003819,0,0
61404000,-0.010336293,-0.0242162,1.5707897,0.0,0.70709205,0.004907207,-0.012215559,0.70699894,0.0,0.0,-0.8002981,0,0
61460000,-0.010503479,-0.023089034,1.5707897,0.0,0.70709515,0.0044495966,-0.011876202,0.70700467,0.0,0.0,-0.8002309,0,0
61500000,-0.010736791,-0.022509726,1.5707897,0.0,0.7070969,0.0041622976,-0.011753891,0.70700675,0.0,0.0,-0.8001516,0,0
61556000,-0.010722848,-0.021649841,1.5707897,0.0,0.70709854,0.003863218,-0.011444986,0.7070119,0.0,0.0,-0.800085,0,0
61604000,-0.010197758,-0.020350091,1.5707897,0.0,0.70710003,0.00358934,-0.010799887,0.707022,0.0,0.0,-0.80001986,0,0
61660000,-0.010378605,-0.019398646,1.5707897,0.0,0.70710194,0.0031890206,-0.010527469,0.70702606,0.0,0.0,-0.79991657,0,0
61708000,-0.010319862,-0.017843448,1.5707897,0.0,0.70710415,0.0026599504,-0.009956913,0.7070343,0.0,0.0,-0.79977065,0,0
61756000,-0.008843335,-0.01655885,1.5707897,0.0,0.70710385,0.0027278098,-0.008980797,0.7070474,0.0,0.0,-0.79966116,0,0
61804000,-0.008100128,-0.015787128,1.5707897,0.0,0.7071039,0.00271773,-0.0084452275,0.707054,0.0,0.0,-0.7995688,0,0
